|Index|,|Quanity|,|Quanity_sold_latest|,|Customer_No_product|,|Customer_No_Sold|,|Quick_Scancode|,|Product_scancode|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Date_In|,|Date_sold|,|Clerk_ID_In|,|Clerk_ID_sold|,|void|,|Catagorie|,|Listprice|,|REDUCTION|,|Soldprice|,|Invoice#|,|Sale_price|,|Sale_item|,|No_Returned|,|Credit_Applied|
38469,1,0,|4080|,,|c26819c|,|p46237|,2,|2|,|5|,,|used booties, pre-walking shoes|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38470,1,0,|4080|,,|c26819c|,|p45049|,2,|2|,|5|,,|used booties, pre-walking shoes|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,1.9500,0,0.0000,,,0,0,0.0000
38471,1,0,|4080|,,|c26819c|,|p46478|,2,|2|,|5|,,|toy or set or game|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|2|,1.5000,0,0.0000,,,0,0,0.0000
38472,0,1,|4080|,|3155|,|c26819c|,|p45950|,2,|2|,|5|,,|cotton sets and sleepers|,|02/05/2000 12:00:00 AM|,|02/11/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,3.9500,0,3.9500,|11217|,,0,0,0.0000
38473,1,0,|4080|,,|c26819c|,|p46262|,2,|2|,|5|,,|2 or 3 piece sets|,|02/05/2000 12:00:00 AM|,,|SUE|,,0,|1|,6.9500,0,0.0000,,,0,0,0.0000
38474,0,1,|4080|,|600|,|c26819c|,|p46486|,2,|2|,|5|,,| dress print or plain|,|02/05/2000 12:00:00 AM|,|02/07/2000 12:00:00 AM|,|SUE|,|ANN|,0,|1|,5.9500,0,5.9500,|10999|,,0,0,0.0000
38475,0,1,|4080|,|4066|,|c26819c|,|p45958|,2,|2|,|5|,,|solid or print average swt sh|,|02/05/2000 12:00:00 AM|,|02/05/2000 12:00:00 AM|,|SUE|,|LRN|,0,|1|,3.9500,0,3.9500,|10906|,,0,0,0.0000
38476,0,1,|4080|,|600|,|c26819c|,|p45946|,2,|2|,|5|,,| dress print or plain|,|02/05/2000 12:00:00 AM|,|02/24/2000 12:00:00 AM|,|SUE|,|LEA|,0,|1|,5.9500,0,5.9500,|11867|,,0,0,0.0000
38477,0,1,|3476|,|600|,|c26786c|,|p45967|,2,|2|,|5|,,|sandal or shoe|,|02/05/2000 12:00:00 AM|,|02/16/2000 12:00:00 AM|,|SUE|,|SUE|,0,|3|,4.9500,0,4.9500,|11452|,,0,0,0.0000
38478,0,1,|3476|,|600|,|c26786c|,|p45061|,2,|2|,|5|,,|winter shirt|,|02/05/2000 12:00:00 AM|,|02/12/2000 12:00:00 AM|,|SUE|,|BAK|,0,|1|,3.9500,0,3.9500,|11231|,,0,0,0.0000
