"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd814",NA,"underwear  type onsie"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd933",NA,"underwear  type onsie"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd919",NA,"shirt"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"wd806",NA,"cotton one piece outfit or set"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD869",NA,"shirt"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD842",NA,"underwear  type onsie"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD877",NA,"underwear  type onsie"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD802",NA,"pants"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD894",NA,"pants"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD889",NA,"pants"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD906",NA,"underwear  type onsie"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD958",NA,"cotton one piece outfit or set"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD812",NA,"sandal or shoe"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD1398",NA,"sandal or shoe"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD1371",NA,"sox"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD1390",NA,"sox"
1,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD1386",NA,"cotton one piece outfit or set"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD816",NA,"sandal or shoe"
3,"01/13/2004 12:00:00 AM","1073980800","DIA",2,"WD1382",NA,"sox"
3,"01/13/2004 12:00:00 AM","1073980800","KER",2,"WD1407",NA,"sox"
3,"01/13/2004 12:00:00 AM","1073980800","KER",2,"WD1383",NA,"slipper"
3,"01/13/2004 12:00:00 AM","1073980800","KER",2,"WD913",NA,"sandal or shoe"
2,"01/13/2004 12:00:00 AM","1073980800","KER",2,"wd876",NA,"toy,  puzzle or game"
3,"01/13/2004 12:00:00 AM","1073980800","KER",2,"wd1001",NA,"book"
1,"01/13/2004 12:00:00 AM","1073980800","SUE",2,"wd840",NA,"shirt"
2,"01/13/2004 12:00:00 AM","1073980800","KER",2,"070097152005",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1022",NA,"book"
1,"01/20/2004 12:00:00 AM","1074585600","KER",2,"wd4669",NA,"overalls"
2,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd5903",NA,"toy,  puzzle or game"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd5906",NA,"video or audio tape or cd rom or  dvd"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd5902",NA,"video or audio tape or cd rom or  dvd"
2,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd5886",NA,"toy,  puzzle or game"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd521",NA,"booties"
2,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd607",NA,"toy,  puzzle or game"
2,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd627",NA,"toy,  puzzle or game"
2,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd5873",NA,"toy,  puzzle or game"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd451",NA,"pants"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd334",NA,"pants"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd601",NA,"sox"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd475",NA,"underwear  type onsie"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd434",NA,"overalls"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd443",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd471",NA,"pants"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd430",NA,"pants"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd982",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd597",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd514",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd587",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd996",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd615",NA,"pj,  night gowns,  robes"
