|Index|,|Preset_Name|,|TYPE_CODE|,|CONDITION_CODE|,|SIZE_CODE|,|NOTES|,|P_Description|,|Catagorie|,|Listprice|
238,|Goodbyn|,1,|2|,|5|,,|Goodbyn|,|3|,12.9900
239,,2,|2|,|5|,,,,0.0000
240,|Green Toys|,1,|2|,|5|,,|Green Toys|,|2|,27.9900
241,|David Fussenegger|,1,|2|,|5|,,|David Fussenegger|,|3|,16.9900
242,|Earth Mama|,1,|2|,|5|,,|Earth Mama|,|3|,13.9900
243,|Grand Sierra|,1,|4|,|5|,,|Grand Sierra|,|1|,8.5000
244,|wow cup|,1,|4|,|5|,,|wow cup|,|3|,9.9900
245,|Do A Dot Art|,1,|2|,|5|,,|Do A Dot Art|,|2|,15.9900
246,|BUILT|,1,|2|,|5|,,|BUILT|,|3|,19.9900
247,|Bruder|,1,|4|,|5|,,|Bruder|,|2|,69.9900
248,|Mcubbin|,1,|2|,|5|,,|Mcubbin|,|3|,15.9900
249,|Rubbabu|,1,|2|,|5|,,|Rubbabu|,|2|,7.9900
250,|Jack and Lily|,1,|2|,|5|,,|Jack and Lily|,|3|,24.9900
251,|Penny Candy|,1,|4|,|5|,,|Penny Candy|,|1|,19.9900
252,|Waba fun|,1,|2|,|5|,,|Waba fun|,|2|,19.9900
253,|Begin  again|,1,|2|,|5|,,|Begin Again|,|2|,0.0000
254,|Jellycat|,1,|2|,|5|,,|Jellycat|,|2|,19.9900
255,|Sophie la girafe|,1,|2|,|5|,,|Sophie la girafe|,|3|,14.9900
256,|Tuffo|,1,|4|,|5|,,|Tuffo|,|3|,39.9900
257,|Sili Squeeze|,1,|4|,|5|,,|Sili Squeeze|,|3|,14.9900
258,|Ulubulu|,1,|4|,|5|,|Ulubulu|,|Ulubulu|,|3|,7.9900
259,|Great Pretenders|,1,|4|,|5|,,|Great Pretenders|,|3|,11.9900
260,|baby legs|,1,|2|,|5|,,|baby legs|,|3|,8.9900
261,|Babalu|,1,|4|,|5|,|Babalu|,|Babalu|,|2|,24.9900
262,|Burt's Bees Baby|,1,|4|,|5|,|Burt's Bees Baby Organics|,|Burt's Bees Baby Organics|,|1|,14.9900
263,|Trumpette|,1,|2|,|5|,,|trumpette|,|3|,25.9900
264,|Bogs Footwear|,1,|4|,|5|,|Bogs Footwear|,|Bogs Footwear|,|1|,34.9900
265,|Meiya & Alvin|,1,|2|,|5|,,|Meiya and Alvin collection|,|3|,19.9900
266,|Tiger Tales|,1,|2|,|5|,,|Tiger Tales|,|2|,8.9900
267,|Poppy & Plum|,1,|4|,|5|,|Poppy & Plum|,|Poppy and Plum|,|3|,15.9900
268,|ONYX|,1,|2|,|5|,,|ONYX|,|3|,9.9900
269,|Smart Wool|,1,|2|,|5|,,|Smart Wool|,|3|,10.9900
270,|Smart Wool Socks|,1,|4|,|5|,|Smart Wool Socks|,|Smart Wool Socks|,|1|,10.9900
271,|Hatley|,1,|2|,|5|,,|Hatley|,|3|,2.9900
272,|Kid Basix|,1,|4|,|5|,|Kid Basix|,|Kid Basix|,|3|,15.9900
273,|The Amber monkey|,1,|2|,|5|,,|Tha Amber Monkey|,|3|,17.9900
274,|puppet workshop|,1,|2|,|5|,,|puppet workshop|,|5|,19.9900
275,|SCENTCO|,1,|2|,|5|,,|SCENTCO|,|3|,2.9900
276,|Puj|,1,|2|,|5|,,|Puj|,|3|,19.9900
277,|Ravensburger|,1,|4|,|5|,,|Puzzles|,|3|,12.9900
278,|Mulberry bush|,1,|2|,|5|,,|Mulberry bush|,|1|,29.9900
279,|Eric Carle|,1,|2|,|5|,,|Eric Carle|,|1|,28.9900
280,|final clearance|,1,|2|,|5|,,|FINAL CLEARANCE|,|3|,24.9900
